A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,class
M,A3,1818,HIGHWAY,,A2,N,THROUGH,WOOD,SHORT,S,WOOD
A,A25,1819,HIGHWAY,1037.0,A2,N,THROUGH,WOOD,SHORT,S,WOOD
A,A39,1829,AQUEDUCT,,A1,N,THROUGH,WOOD,,S,WOOD
A,A29,1837,HIGHWAY,1000.0,A2,N,THROUGH,WOOD,SHORT,S,WOOD
M,A23,1838,HIGHWAY,,A2,N,THROUGH,WOOD,,S,WOOD
A,A27,1840,HIGHWAY,990.0,A2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,A28,1844,AQUEDUCT,1000.0,A1,N,THROUGH,IRON,SHORT,S,SUSPEN
M,A3,1846,HIGHWAY,1500.0,A2,N,THROUGH,IRON,SHORT,S,SUSPEN
A,A39,1848,AQUEDUCT,,A1,N,DECK,WOOD,,S,WOOD
A,A29,1851,HIGHWAY,1000.0,A2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,A39,1853,RR,,A2,N,DECK,WOOD,,S,WOOD
M,A6,1856,HIGHWAY,1200.0,A2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,A33,1856,HIGHWAY,,A2,N,THROUGH,WOOD,,S,WOOD
A,A28,1857,RR,,A2,N,THROUGH,WOOD,,S,WOOD
A,A25,1859,HIGHWAY,1030.0,A2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
M,A4,1863,RR,1000.0,A2,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
A,A28,1864,RR,1200.0,A2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
A,A29,1866,HIGHWAY,1000.0,A2,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,A32,1870,HIGHWAY,1000.0,A2,N,THROUGH,WOOD,MEDIUM,S,WOOD
M,A16,1874,RR,,A2,,THROUGH,IRON,,,SIMPLE-T
M,A1,1876,HIGHWAY,1245.0,,,THROUGH,STEEL,LONG,F,SUSPEN
A,A24,1876,HIGHWAY,1200.0,A4,G,THROUGH,WOOD,SHORT,S,WOOD
O,A45,1878,RR,,A2,G,,STEEL,,,SIMPLE-T
M,A10,1882,RR,,A2,G,,STEEL,,,SIMPLE-T
A,A39,1883,RR,,A2,G,THROUGH,STEEL,,F,SIMPLE-T
M,A12,1883,RR,1150.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,A31,1884,RR,,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,A26,1884,HIGHWAY,1080.0,A2,G,THROUGH,STEEL,MEDIUM,,SUSPEN
M,A3,1884,HIGHWAY,1000.0,A2,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,A30,1887,HIGHWAY,,A2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,A8,1887,RR,1161.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,A41,1888,RR,4558.0,A2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,A19,1889,HIGHWAY,1120.0,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
O,A45,1890,HIGHWAY,,A2,G,THROUGH,IRON,SHORT,F,SIMPLE-T
A,A27,1890,HIGHWAY,1000.0,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,A17,1891,HIGHWAY,,A2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,A18,1891,RR,1350.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,A25,1892,HIGHWAY,,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,A27,1892,AQUEDUCT,1092.0,A1,N,THROUGH,WOOD,SHORT,S,WOOD
