A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,class
M,3.0,CRAFTS,HIGHWAY,,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
A,25.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
A,39.0,CRAFTS,AQUEDUCT,,1.0,N,THROUGH,WOOD,,S,WOOD
A,29.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
M,23.0,CRAFTS,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
A,27.0,CRAFTS,HIGHWAY,SHORT,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,28.0,CRAFTS,AQUEDUCT,MEDIUM,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
M,3.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
A,39.0,CRAFTS,AQUEDUCT,,1.0,N,DECK,WOOD,,S,WOOD
A,29.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,39.0,CRAFTS,RR,,2.0,N,DECK,WOOD,,S,WOOD
M,6.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,33.0,CRAFTS,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
A,28.0,CRAFTS,RR,,2.0,N,THROUGH,WOOD,,S,WOOD
A,25.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
M,4.0,CRAFTS,RR,MEDIUM,2.0,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
A,28.0,CRAFTS,RR,MEDIUM,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
A,29.0,CRAFTS,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
A,32.0,EMERGING,HIGHWAY,MEDIUM,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
M,16.0,EMERGING,RR,,2.0,,THROUGH,IRON,,,SIMPLE-T
M,1.0,EMERGING,HIGHWAY,MEDIUM,,,THROUGH,STEEL,LONG,F,SUSPEN
A,24.0,EMERGING,HIGHWAY,MEDIUM,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
O,45.0,EMERGING,RR,,2.0,G,,STEEL,,,SIMPLE-T
M,10.0,EMERGING,RR,,2.0,G,,STEEL,,,SIMPLE-T
A,39.0,EMERGING,RR,,2.0,G,THROUGH,STEEL,,F,SIMPLE-T
M,12.0,EMERGING,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,31.0,EMERGING,RR,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,26.0,EMERGING,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,,SUSPEN
M,3.0,EMERGING,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,30.0,EMERGING,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,8.0,EMERGING,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,41.0,EMERGING,RR,LONG,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,19.0,EMERGING,HIGHWAY,MEDIUM,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
O,45.0,MATURE,HIGHWAY,,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
A,27.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,17.0,MATURE,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,18.0,MATURE,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,25.0,MATURE,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,27.0,MATURE,AQUEDUCT,MEDIUM,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
M,22.0,MATURE,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,11.0,MATURE,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,9.0,MATURE,HIGHWAY,LONG,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,48.0,MATURE,HIGHWAY,,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
M,7.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,LONG,F,ARCH
A,37.0,MATURE,RR,LONG,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
M,14.0,MATURE,RR,LONG,,G,THROUGH,STEEL,,F,SIMPLE-T
M,15.0,MATURE,RR,LONG,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,33.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,38.0,MATURE,HIGHWAY,LONG,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,13.0,MATURE,RR,,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,34.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
M,16.0,MATURE,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,35.0,MATURE,RR,LONG,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
M,6.0,MATURE,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,21.0,MATURE,RR,MEDIUM,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,4.0,MATURE,RR,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,28.0,MATURE,RR,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,2.0,MATURE,RR,MEDIUM,,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,,MATURE,HIGHWAY,MEDIUM,,G,,STEEL,MEDIUM,F,SIMPLE-T
M,23.0,MATURE,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,36.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,49.0,MATURE,RR,MEDIUM,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
O,43.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
M,10.0,MATURE,RR,LONG,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
O,41.0,MATURE,RR,LONG,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,24.0,MATURE,HIGHWAY,MEDIUM,4.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,37.0,MATURE,RR,LONG,2.0,N,DECK,STEEL,LONG,F,CONT-T
A,31.0,MATURE,RR,LONG,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,30.0,MATURE,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
A,29.0,MATURE,HIGHWAY,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
A,32.0,MATURE,HIGHWAY,LONG,4.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,27.0,MATURE,HIGHWAY,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
A,26.0,MATURE,HIGHWAY,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
O,46.0,MATURE,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,LONG,S-F,CANTILEV
A,38.0,MATURE,HIGHWAY,MEDIUM,,G,THROUGH,STEEL,MEDIUM,S,ARCH
M,5.0,MATURE,HIGHWAY,LONG,4.0,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
M,1.0,MATURE,HIGHWAY,MEDIUM,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
A,30.0,MATURE,HIGHWAY,LONG,4.0,G,DECK,STEEL,MEDIUM,F,ARCH
M,20.0,MATURE,HIGHWAY,LONG,2.0,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
A,25.0,MATURE,HIGHWAY,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
M,17.0,MATURE,HIGHWAY,LONG,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,40.0,MATURE,HIGHWAY,MEDIUM,4.0,G,THROUGH,STEEL,LONG,F,ARCH
O,42.0,MATURE,HIGHWAY,MEDIUM,4.0,N,THROUGH,STEEL,LONG,F,ARCH
M,6.0,MATURE,HIGHWAY,MEDIUM,4.0,G,THROUGH,STEEL,LONG,F,SUSPEN
M,11.0,MATURE,HIGHWAY,MEDIUM,4.0,N,DECK,STEEL,LONG,S-F,CONT-T
A,34.0,MATURE,HIGHWAY,MEDIUM,4.0,G,DECK,STEEL,MEDIUM,F,CANTILEV
