asdf,sj,sjg,bnx,zsghj,shm,shj,dmn,ul,xlj,sghk,syi,shk,sjglk,ldc,suo,shkj,lkhdf,syi1,sjfhg,le,dlu,sk,lud,slk,dlj,duyl,class
2,1,530334,38.3,40,24,1,1,3,1,3,3,1,2,1,2.0,1,1,33.0,6.7,2,2.0,1,2,0,0,0,1
1,9,5290409,39.1,164,84,4,1,6,2,2,4,4,1,2,5.0,3,5,48.0,7.2,3,5.3,2,1,2208,0,0,1
2,9,5299629,38.3,90,20,1,1,1,1,5,3,1,2,1,2.0,3,5,40.0,6.2,1,2.2,1,2,0,0,0,1
1,1,528548,38.1,66,12,3,3,5,1,3,3,1,2,1,3.0,2,5,44.0,6.0,2,3.6,1,1,2124,0,0,1
2,9,5291329,38.0,92,28,1,1,2,1,1,3,2,3,1,7.2,1,1,37.0,6.1,1,2.0,2,2,0,0,0,1
1,9,5301219,38.0,128,36,3,3,4,2,4,4,3,3,1,2.0,4,5,53.0,7.8,3,4.7,2,2,1400,0,0,1
1,1,5290481,37.6,64,21,1,1,2,1,2,3,1,1,1,2.0,2,5,40.0,7.0,1,2.0,1,1,4205,0,0,1
1,1,530157,39.9,72,60,1,1,5,2,5,4,4,3,1,2.0,4,4,46.0,6.1,2,2.0,1,1,2111,0,0,2
1,1,530526,38.3,72,30,4,3,3,2,3,3,3,2,1,2.0,3,5,43.0,7.0,2,3.9,1,1,3111,0,0,1
1,1,528653,37.8,48,12,3,1,1,1,3,3,2,1,1,2.0,1,3,37.0,5.5,2,1.3,1,2,4122,0,0,1
2,1,530242,37.2,108,12,3,3,4,2,2,4,2,2,3,6.0,3,3,52.0,8.2,3,7.4,3,1,2207,0,0,1
1,1,529663,38.2,64,28,1,1,1,1,3,1,1,2,1,2.0,4,4,49.0,8.6,2,6.6,1,1,2208,0,0,1
2,1,529493,38.3,112,16,3,3,5,2,3,3,1,1,2,2.0,4,5,51.0,6.0,2,1.0,3,2,5205,0,0,1
2,1,528996,38.6,52,20,1,1,1,1,3,3,2,1,1,2.0,1,3,32.0,6.6,1,5.0,1,2,0,0,0,1
2,9,5288249,39.0,150,72,3,1,1,1,3,3,1,2,1,2.0,4,5,47.0,8.5,2,0.1,1,1,9400,0,0,1
2,1,529827,38.0,120,20,4,3,4,2,5,4,4,1,1,2.0,4,5,60.0,6.5,3,2.0,2,1,3205,0,0,2
1,1,529888,37.9,60,15,3,1,4,2,5,4,4,2,2,2.0,4,5,65.0,7.5,2,2.0,1,1,2305,0,0,1
2,1,529642,37.2,84,48,3,3,5,2,4,1,2,1,2,2.0,2,1,73.0,5.5,2,4.1,2,2,4300,0,0,1
2,1,529766,38.6,46,20,1,1,2,1,1,3,2,1,1,2.0,4,2,49.0,9.1,1,1.6,1,2,3111,0,0,1
1,1,527706,37.4,84,36,1,1,3,2,3,3,2,2,1,2.0,4,5,37.0,6.5,3,2.0,2,1,7209,0,0,1
2,1,530544,38.6,40,20,3,1,1,1,3,3,1,2,1,2.0,4,5,41.0,6.4,2,2.0,1,2,3111,0,0,1
2,1,529461,40.3,114,36,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,3,1,7400,0,0,1
1,9,5282839,38.6,160,20,3,1,5,1,3,3,4,3,1,2.0,4,5,38.0,6.5,2,2.0,2,1,7111,0,0,1
1,1,528298,38.0,48,20,4,3,3,1,5,4,3,2,1,2.0,4,4,53.0,5.9,3,2.0,2,1,3205,0,0,1
1,1,528630,37.8,88,22,2,1,2,1,3,3,1,2,1,2.0,4,5,64.0,8.0,1,6.0,2,1,3205,0,0,1
1,1,529667,39.0,64,36,3,1,4,2,3,3,2,1,2,7.0,4,5,44.0,7.5,3,5.0,1,1,2113,0,0,1
2,1,528931,38.4,54,24,1,1,1,1,1,3,1,2,1,2.0,3,2,49.0,7.2,1,2.0,1,2,3111,0,0,1
2,1,530276,38.0,48,12,1,1,1,1,1,3,1,1,1,2.0,3,2,42.0,6.3,2,4.1,1,2,3111,0,0,1
2,1,528214,37.0,60,20,3,1,1,1,3,3,3,2,2,4.5,4,4,43.0,7.6,2,2.0,3,1,2209,0,0,1
1,1,529424,37.8,48,28,1,1,1,1,1,2,1,2,1,2.0,1,1,46.0,5.9,2,7.0,1,2,0,0,0,1
1,1,528469,38.1,52,24,1,1,5,1,4,3,1,2,3,7.0,1,5,54.0,7.5,2,2.6,2,1,2112,0,0,1
1,1,527463,37.5,96,18,1,3,6,2,3,4,2,2,3,5.0,4,4,69.0,8.9,3,2.0,1,1,2208,0,0,1
1,1,527518,36.4,98,35,3,3,4,1,4,3,2,2,1,2.0,4,4,47.0,6.4,3,3.6,2,1,2205,0,0,1
1,1,529849,37.8,60,80,1,3,2,2,2,3,3,2,2,5.5,4,5,40.0,4.5,2,2.0,1,1,5206,0,0,1
1,1,529388,38.0,88,40,3,3,4,2,5,4,3,3,1,2.0,4,5,50.0,7.7,3,1.4,2,1,4205,0,0,1
2,1,528006,38.0,40,16,3,1,1,1,3,3,1,2,1,2.0,4,5,50.0,7.0,2,3.9,3,1,2208,0,0,1
2,1,529703,39.0,64,40,1,1,5,1,3,3,2,2,1,2.0,3,3,42.0,7.5,2,2.3,1,2,5000,0,0,1
2,1,529461,40.3,114,36,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,2,1,3205,0,0,1
2,1,530251,38.8,50,20,3,1,1,1,1,1,1,2,1,2.0,3,1,42.0,6.2,2,2.0,1,2,0,0,0,2
2,1,530002,39.6,108,51,3,3,6,2,2,4,3,1,2,2.0,3,5,59.0,8.0,2,2.6,1,2,4300,0,0,1
1,1,534899,38.0,60,20,4,3,4,2,5,4,1,2,1,2.0,4,5,37.0,6.5,2,2.0,3,1,3205,0,0,2
1,9,5292489,38.0,140,68,1,1,1,1,3,3,2,2,1,2.0,2,1,39.0,5.3,2,2.0,1,1,7111,0,0,2
1,1,528668,38.3,52,96,3,3,3,1,3,3,1,1,1,2.0,1,5,43.0,6.1,2,2.0,1,1,3209,0,0,1
1,9,5297379,38.4,84,40,3,3,2,1,3,3,3,1,1,2.0,4,5,36.0,6.6,2,2.8,2,1,2205,0,0,1
1,1,534963,38.0,40,20,2,1,1,1,1,3,1,1,1,2.0,4,5,39.0,56.0,2,2.0,1,1,3111,0,0,2
1,1,527933,36.8,60,28,3,1,1,1,3,3,1,2,1,2.0,4,5,37.0,6.5,2,10.0,2,1,3205,0,0,1
1,1,528682,39.4,54,66,1,1,2,1,2,3,2,1,1,2.0,3,4,39.0,6.0,2,2.0,1,1,2206,0,0,1
1,1,530360,38.2,64,24,1,1,3,1,4,4,3,2,1,2.0,4,4,45.0,7.5,1,2.0,2,1,3205,0,0,1
1,1,5262541,37.4,50,32,3,3,1,1,4,4,1,2,1,2.0,1,5,45.0,7.9,2,1.0,1,1,2208,0,0,1
1,1,534572,38.0,48,20,3,1,3,1,4,3,1,2,1,2.0,3,5,43.0,73.0,2,1.0,1,1,3111,0,0,2
1,9,5287179,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,5,33.0,4.9,2,2.9,2,1,2205,0,0,1
1,1,530402,38.0,120,20,4,3,6,2,5,4,4,2,1,2.0,4,5,57.0,4.5,3,3.9,2,1,3205,0,0,1
1,1,529424,37.8,48,28,1,1,1,2,1,2,1,2,1,2.0,1,1,46.0,5.9,2,7.0,1,2,0,0,0,1
1,1,529272,38.3,132,20,3,3,6,2,2,4,2,2,3,6.2,4,4,57.0,8.0,2,5.2,1,1,2112,0,0,1
1,1,529399,39.3,48,20,4,3,6,2,4,4,2,1,3,4.0,4,4,75.0,6.5,3,4.3,2,1,2207,0,0,1
2,1,528804,38.6,48,20,3,1,1,1,1,3,2,2,1,2.0,3,2,50.0,7.3,1,2.0,1,2,3111,0,0,1
2,1,528247,38.0,48,20,3,3,4,1,1,4,2,2,1,5.0,4,2,49.0,8.3,1,2.0,1,2,400,0,0,1
2,1,528996,38.6,52,20,1,1,1,1,3,3,2,1,1,2.0,1,3,36.0,6.6,1,5.0,1,2,0,0,0,1
2,1,528134,38.0,48,12,1,1,2,1,2,1,2,3,1,2.0,1,3,44.0,7.5,2,2.0,1,2,0,0,0,1
2,1,535176,39.5,60,10,3,1,1,2,3,3,2,2,1,2.0,3,5,38.0,56.0,1,2.0,1,2,0,0,0,2
1,1,528523,38.7,76,20,1,1,5,2,3,3,2,2,2,2.0,4,4,50.0,8.0,2,2.0,1,1,2208,0,0,1
1,1,527916,38.3,40,18,1,1,1,1,3,1,1,2,1,2.0,2,1,43.0,5.9,1,2.0,1,2,0,0,0,1
2,1,532985,37.5,44,20,1,1,3,1,3,1,1,2,1,2.0,1,5,35.0,7.2,2,2.0,1,2,0,0,0,2
2,1,527677,39.0,86,16,3,3,5,1,3,3,3,2,2,2.0,4,5,68.0,5.8,3,6.0,2,1,5400,0,0,1
1,1,535292,38.5,129,48,3,3,3,1,2,4,3,1,3,2.0,4,5,57.0,66.0,3,2.0,1,1,2206,0,0,2
1,1,529729,38.0,104,20,3,3,5,2,2,4,3,2,3,2.0,4,4,69.0,8.6,2,3.4,2,1,2207,0,0,1
2,1,518476,38.0,48,20,3,4,6,1,4,3,4,2,1,2.0,4,5,37.0,6.5,2,2.0,2,1,3400,0,0,1
1,1,523190,38.0,68,14,3,1,4,1,4,3,1,2,1,4.3,4,5,37.0,6.5,2,2.8,2,1,4205,0,0,1
2,1,528151,38.5,100,20,3,3,5,2,4,3,4,2,1,2.0,4,5,37.0,6.5,2,2.0,3,2,1111,0,0,1
2,1,528305,37.8,48,14,3,1,1,1,3,3,2,1,3,5.3,1,5,35.0,7.5,2,2.0,1,2,3111,0,0,1
1,1,534833,38.5,120,60,4,3,6,2,3,3,1,2,1,2.0,4,5,54.0,6.5,2,2.0,1,1,5400,0,0,2
